TechCSV1.0;;;;;;;;;;;;
#separator;;;;;;;;;;;;
;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;
yes;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable;Variable
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY
170;170;-2796,980072;19,2981;98,8495;2,4631;246,74;426,42;721,54;218,6082;0,2815;0,1395;0,0129
170;170;-2796,921682;20,1398;97,8442;2,464;247,35;427,7;720,39;218,2429;0,2834;0,1566;0,0124
170;170;-2796,863293;21,0939;96,7833;2,4621;247,7;428,7;719,47;220,6745;0,2854;0,1569;0,0119
170;170;-2796,804903;20,9733;96,145;2,457;247,83;429,46;719,07;223,0423;0,2898;0,1581;0,0117
170;170;-2796,746514;20,6233;95,4149;2,4529;247,86;430,14;719,01;225,1393;0,2961;0,1595;0,0114
170;170;-2796,688124;20,5009;94,0534;2,4548;247,8;430,77;719,01;226,5208;0,306;0,1605;0,0108
170;170;-2796,629734;19,9568;92,5849;2,4601;247,68;431,31;718,77;226,8382;0,3055;0,1601;0,0106
170;170;-2796,571345;19,3;91,3171;2,4669;247,56;431,77;718,07;226,7249;0,3017;0,1591;0,0107
170;170;-2796,512955;18,7368;90,9485;2,4753;247,43;432,09;717,08;226,4555;0,3;0,1576;0,0114
170;170;-2796,454566;19,568;89,8123;2,4741;247,32;432,34;715,8;224,0415;0,2954;0,1573;0,0133
170;170;-2796,396176;20,7718;88,6298;2,4678;247,23;432,53;714,65;221,1868;0,2907;0,158;0,0161
