TechCSV1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#separator;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;;;;Variable;Variable;Variable;Variable;;;;;;;;;;;;;;;;
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD;;;;;;;;;;;;;;;;
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY;;;;;;;;;;;;;;;;
171;171;-2728,477977;16,1041;79,7459;2,3874;;;;0,2264;0,2375;-9999;1,9329;;;;;;;;;;;;;;;;
171;171;-2728,46457;16,3006;79,3755;2,3883;;;;0,2265;0,2338;0,1835;2,1874;;;;;;;;;;;;;;;;
171;171;-2728,451163;16,4837;78,6901;2,3922;;;;0,2262;0,2284;0,1817;2,4307;;;;;;;;;;;;;;;;
171;171;-2728,437756;16,6742;78,5128;2,3898;;;;0,2262;0,2272;0,1809;2,7146;;;;;;;;;;;;;;;;
171;171;-2728,424349;16,8605;78,5842;2,386;;;;0,2262;0,2269;0,1806;3,0147;;;;;;;;;;;;;;;;
171;171;-2728,410942;17,02;78,8598;2,3865;;;;0,2264;0,2243;0,1808;3,3165;;;;;;;;;;;;;;;;
171;171;-2728,397535;17,2106;78,7534;2,3844;;;;0,2258;0,2241;0,1809;3,5717;;;;;;;;;;;;;;;;
171;171;-2728,384128;17,4037;78,3341;2,3819;;;;0,2249;0,2246;0,1811;3,787;;;;;;;;;;;;;;;;
