TechCSV1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#separator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#multiwellfile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#DatasetType;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ContinuFile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#VariableType;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wellname;datasetname;Variable;Variable;Variable;Variable;;;;Variable;Variable;Variable;Variable;;;;;;;;;;;;;;;;;;
#VariableName;;m;ohm * m;gAPI;g / cm3;mc sec / m;mc sec / m;mc sec / m;mm;m3/m3;v/v;mD;;;;;;;;;;;;;;;;;;
wellName;datasetName;DEPTH;RESISTIVITY;GAMMA RAY;DENSITY LOG;SONIC LOG P-WAVE;SONIC LOG S- WAVE;SONIC LOG;CALIPER;NEUTRON LOG;TOTAL POROSITY ;TOTAL PERMEABILIITY;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2776,739521;14,2432;64,0693;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2776,696549;14,2947;64,3836;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2776,653557;14,6011;64,6978;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2776,610565;14,7843;65,0121;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2776,567573;14,9519;65,2273;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2776,524581;15,5289;64,7054;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2776,481589;15,7189;64,2436;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
183 PL;183 PL;-2776,438597;15,6433;63,8247;-9999;;;;-9999;-9999;-9999;-9999;;;;;;;;;;;;;;;;;;
